date,cape,mkt5yrfwd
1971-12,15.63881,0.0500574
1972-1,16.60356,0.0433594
1972-2,17.263,0.0332479
1972-3,17.46407,0.024055
1972-4,17.80564,0.0186499
1972-5,17.91516,0.0136606
1972-6,17.66262,0.0153696
1972-7,17.64086,0.0161349
1972-8,17.39869,0.0197484
1972-9,17.94333,0.0079365
1972-10,17.61385,0.0080006
1972-11,17.53318,0.002685
1972-12,18.33909,-0.0056102
1973-1,18.64572,-0.0103179
1973-2,18.71253,-0.0190608
1973-3,17.8897,-0.0143298
1973-4,17.41214,-0.0111347
1973-5,16.93574,0.0015379
1973-6,16.31431,0.0176236
1973-7,15.80832,0.023096
1973-8,15.88952,0.0205263
1973-9,15.27857,0.0385187
1973-10,15.47531,0.0352607
1973-11,15.91352,0.0209324
1973-12,14.65179,0.023989
1974-1,13.49333,0.0424713
1974-2,13.53072,0.0474989
1974-3,12.9572,0.0505025
1974-4,13.31036,0.0459357
1974-5,12.55041,0.0614057
1974-6,11.99539,0.0631652
1974-7,11.8885,0.0672523
1974-8,10.39414,0.0963707
1974-9,9.824289,0.1156631
1974-10,8.680421,0.1429628
1974-11,8.744987,0.1298066
1974-12,8.949002,0.1207263
1975-1,8.28906,0.144704
1975-2,8.920996,0.133223
1975-3,9.762223,0.1197092
1975-4,10.1638,0.0885364
1975-5,10.23308,0.082648
1975-6,10.81804,0.0791641
1975-7,11.01136,0.0873355
1975-8,10.90277,0.0969889
1975-9,10.08986,0.1207002
1975-10,9.918905,0.128887
1975-11,10.3276,0.1252572
1975-12,10.43583,0.1307845
1976-1,10.25037,0.1304832
1976-2,11.18505,0.1099718
1976-3,11.58613,0.0939402
1976-4,11.63175,0.1009616
1976-5,11.68916,0.1012756
1976-6,11.53201,0.0983873
1976-7,11.54384,0.0981274
1976-8,11.75749,0.0877784
1976-9,11.59805,0.0905917
1976-10,11.80599,0.066535
1976-11,11.34569,0.0768301
1976-12,11.2488,0.0839814
1977-1,11.59759,0.0783884
1977-2,11.43796,0.0688837
1977-3,11.01487,0.0697711
1977-4,10.89574,0.0638341
1977-5,10.63604,0.0776803
1977-6,10.54852,0.078638
1977-7,10.53002,0.0649956
1977-8,10.56769,0.062683
1977-9,10.26836,0.0687866
1977-10,10.06774,0.0960543
1977-11,9.766666,0.1198145
1977-12,9.766299,0.1274818
1978-1,9.678267,0.1306607
1978-2,9.241462,0.147252
1978-3,9.045311,0.1543156
1978-4,8.950418,0.1624652
1978-5,9.262586,0.1610194
1978-6,9.634889,0.1585923
1978-7,9.549681,0.1610378
1978-8,9.425523,0.1627828
1978-9,10.024,0.1408261
1978-10,9.941888,0.1473461
1978-11,9.533611,0.1552988
1978-12,8.928396,0.1656177
1979-1,9.01194,0.1608953
1979-2,9.257638,0.155015
1979-3,9.003763,0.1453808
1979-4,9.070786,0.1411063
1979-5,9.133063,0.1367786
1979-6,8.794403,0.1405626
1979-7,8.853936,0.1309006
1979-8,8.827497,0.1256362
1979-9,9.127188,0.134472
1979-10,9.112758,0.1341605
1979-11,8.681842,0.1409555
1979-12,8.518724,0.1446636
1980-1,8.745204,0.1332768
1980-2,8.850935,0.1363243
1980-3,9.054495,0.1393921
1980-4,8.08115,0.1595405
1980-5,7.844026,0.1647296
1980-6,8.104205,0.1596018
1980-7,8.512077,0.1500013
1980-8,8.880866,0.143951
1980-9,9.071043,0.1318803
1980-10,9.19604,0.1213109
1980-11,9.357839,0.117362
1980-12,9.654,0.1212554
1981-1,9.389903,0.1358582
1981-2,9.259405,0.137628
1981-3,8.8299,0.1576151
1981-4,9.081095,0.1622272
1981-5,9.085562,0.1656361
1981-6,8.818463,0.1707213
1981-7,8.765341,0.1761177
1981-8,8.445319,0.1767686
1981-9,8.399825,0.1803581
1981-10,7.581165,0.1952137
1981-11,7.649143,0.1910528
1981-12,7.810751,0.192309
1982-1,7.832562,0.1936251
1982-2,7.388659,0.2211994
1982-3,7.181839,0.2414843
1982-4,6.950673,0.259267
1982-5,7.259073,0.2439147
1982-6,7.192571,0.2430703
1982-7,6.692132,0.267828
1982-8,6.638651,0.2751556
1982-9,6.643438,0.2892323
1982-10,7.398837,0.2523899
1982-11,7.999841,0.2005496
1982-12,8.347459,0.1592299
1983-1,8.467739,0.1530639
1983-2,8.756785,0.1538515
1983-3,8.910513,0.1565794
1983-4,9.232829,0.1552014
1983-5,9.531583,0.1437499
1983-6,9.874403,0.1289159
1983-7,10.00012,0.1382238
1983-8,10.01448,0.1359656
1983-9,9.728004,0.1376012
1983-10,9.984201,0.134558
1983-11,10.00339,0.1416152
1983-12,9.853631,0.1396052
1984-1,9.815009,0.1451776
1984-2,9.894929,0.1495539
1984-3,9.324562,0.1692822
1984-4,9.326747,0.1678872
1984-5,9.305641,0.1749393
1984-6,9.231879,0.185059
1984-7,9.010188,0.1974732
1984-8,8.868302,0.2063351
1984-9,9.623031,0.1962041
1984-10,9.687342,0.1939985
1984-11,9.59507,0.1957321
1984-12,9.691989,0.1883276
1985-1,9.595055,0.1964715
1985-2,9.997002,0.1802544
1985-3,10.49488,0.1610824
1985-4,10.37321,0.1684222
1985-5,10.39712,0.1665072
1985-6,10.60815,0.1690304
1985-7,10.81005,0.1705181
1985-8,10.99756,0.1657091
1985-9,10.73878,0.1510255
1985-10,10.47123,0.1452007
1985-11,10.55252,0.1364612
1985-12,11.16467,0.1290311
1986-1,11.69052,0.1275197
1986-2,11.71501,0.1242887
1986-3,12.38818,0.1365987
1986-4,13.18902,0.1298221
1986-5,13.5525,0.1287551
1986-6,13.56011,0.1272462
1986-7,13.88869,0.1211029
1986-8,13.62,0.12695
1986-9,13.88764,0.1278249
1986-10,13.46731,0.1327592
1986-11,13.42592,0.1333789
1986-12,13.87296,0.125567
1987-1,14.08514,0.1238663
1987-2,14.92221,0.1253201
1987-3,15.82234,0.1099996
1987-4,16.43335,0.0983138
1987-5,16.19654,0.1008049
1987-6,16.16029,0.1049551
1987-7,16.82521,0.0923676
1987-8,17.30601,0.0898158
1987-9,18.32696,0.07832
1987-10,17.67562,0.0858325
1987-11,15.53006,0.111016
1987-12,13.59087,0.1468248
1988-1,13.38903,0.1573579
1988-2,13.89834,0.1481053
1988-3,14.29829,0.1445598
1988-4,14.66895,0.1421833
1988-5,14.43332,0.1411669
1988-6,14.03183,0.1479361
1988-7,14.76647,0.1366311
1988-8,14.60832,0.1375148
1988-9,14.24493,0.145523
1988-10,14.36943,0.1442958
1988-11,14.81145,0.1386607
1988-12,14.44551,0.143393
1989-1,14.70208,0.1402263
1989-2,15.08807,0.1363366
1989-3,15.46702,0.128879
1989-4,15.29897,0.1260792
1989-5,15.68674,0.1106967
1989-6,16.18637,0.1041753
1989-7,16.6419,0.0993135
1989-8,17.0134,0.0921927
1989-9,17.73429,0.0888731
1989-10,17.71422,0.0896987
1989-11,17.64085,0.0881607
1989-12,17.24238,0.0913991
1990-1,17.65021,0.0833083
1990-2,17.04885,0.0934745
1990-3,16.50806,0.1073881
1990-4,16.83374,0.1070936
1990-5,16.81391,0.1137322
1990-6,17.3924,0.1126717
1990-7,17.81709,0.1127151
1990-8,17.74717,0.1201647
1990-9,16.16834,0.1398711
1990-10,15.30128,0.158501
1990-11,14.81814,0.1660998
1990-12,15.18759,0.164705
1991-1,15.84631,0.1620427
1991-2,15.60619,0.1640401
1991-3,17.35469,0.1519091
1991-4,17.81861,0.1445703
1991-5,18.15534,0.1399292
1991-6,18.03541,0.1456707
1991-7,18.01523,0.1477958
1991-8,18.10345,0.1379364
1991-9,18.51229,0.1388256
1991-10,18.35728,0.1440997
1991-11,18.34919,0.1529626
1991-12,18.28889,0.1643502
1992-1,18.44165,0.1649448
1992-2,19.77307,0.1558834
1992-3,19.583,0.1671813
1992-4,19.28356,0.1680786
1992-5,19.30123,0.1593771
1992-6,19.66234,0.1751488
1992-7,19.31536,0.1906098
1992-8,19.62074,0.199393
1992-9,19.72217,0.1979479
1992-10,19.70877,0.1998485
1992-11,19.37027,0.2066028
1992-12,19.83362,0.1972473
1993-1,20.44861,0.1957292
1993-2,20.32341,0.1959146
1993-3,20.54538,0.2066858
1993-4,20.8552,0.2140409
1993-5,20.45737,0.2254725
1993-6,20.51764,0.2231244
1993-7,20.60835,0.2212714
1993-8,20.56459,0.2318154
1993-9,20.81226,0.209864
1993-10,20.99351,0.1945079
1993-11,21.10918,0.1946035
1993-12,21.03786,0.219718
1994-1,21.16473,0.2273704
1994-2,21.41198,0.2352408
1994-3,21.26382,0.2352337
1994-4,20.83338,0.2459109
1994-5,20.05525,0.2648892
